                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0495,                 2.7728,                 1.3673,                0.43944,                0.20335,                0.32278,                 0.2172,                 1.1102,                 3.0952,                 1.4915,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.1544,                  2.218,                 1.4366,                0.38353,                0.50121,                0.45408,                0.26612,                 1.3505,                 2.5986,                 1.7572,             0.00072667,             0.00072667,             0.00072667
                      3,                 1.1681,                 2.1244,                 1.4325,                0.34743,                0.38044,                0.28667,                0.15648,                 1.4235,                 2.8303,                  1.774,              0.0010824,              0.0010824,              0.0010824
                      4,                 1.1994,                 2.1129,                 1.4714,                0.44593,                0.20165,                 0.2122,                0.11625,                 1.5563,                 2.9535,                 1.9458,               0.001078,               0.001078,               0.001078
                      5,                 1.1986,                 1.9936,                 1.4694,                0.29233,                0.35286,                0.19188,                0.10291,                 1.6287,                 2.9952,                 1.9735,               0.001078,               0.001078,               0.001078
                      6,                 1.1944,                 1.9327,                 1.4714,                0.43953,                0.38064,                0.41477,                0.23599,                 1.4876,                  2.283,                 1.8093,               0.001067,               0.001067,               0.001067
                      7,                 1.1723,                 1.7721,                  1.435,                0.47258,                0.35944,                0.42102,                0.26768,                 1.5408,                 2.2405,                  1.858,               0.001056,               0.001056,               0.001056
                      8,                 1.1439,                 1.7477,                 1.4377,                0.35539,                0.45066,                0.35281,                0.19802,                 1.5458,                 2.5135,                  1.887,               0.001045,               0.001045,               0.001045
                      9,                 1.1348,                 1.6749,                 1.4188,                0.38195,                 0.4126,                0.37573,                 0.2042,                 1.5285,                 2.2818,                 1.8544,               0.001034,               0.001034,               0.001034
                     10,                 1.1263,                 1.6337,                 1.4001,                0.55222,                0.38422,                0.40625,                0.25521,                  1.454,                 2.2736,                 1.9065,               0.001023,               0.001023,               0.001023
                     11,                 1.0949,                 1.5431,                 1.3769,                0.51798,                0.38568,                 0.4216,                 0.2887,                 1.3177,                  2.091,                 1.6716,               0.001012,               0.001012,               0.001012
                     12,                 1.0751,                 1.5085,                 1.3669,                0.54615,                  0.441,                0.41327,                0.25539,                 1.4017,                 2.2838,                 1.7857,               0.001001,               0.001001,               0.001001
                     13,                 1.0218,                 1.3876,                 1.3262,                0.50001,                0.53591,                0.48561,                0.31169,                 1.4426,                 1.9007,                 1.7861,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.0387,                 1.4006,                   1.35,                0.61689,                0.45288,                0.48149,                0.31001,                 1.4455,                 2.0255,                 1.8337,             0.00097901,             0.00097901,             0.00097901
                     15,                0.99725,                 1.3304,                 1.2979,                0.51919,                0.46983,                0.43161,                0.29431,                 1.3094,                 2.0901,                 1.6511,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0395,                 1.3421,                 1.3308,                0.54131,                0.45411,                 0.4372,                0.30017,                 1.3715,                 1.9952,                 1.7462,             0.00095702,             0.00095702,             0.00095702
                     17,                0.99872,                 1.3483,                 1.3237,                0.52523,                  0.427,                0.45992,                0.28859,                 1.4416,                 2.0759,                 1.8507,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0041,                 1.2896,                  1.314,                  0.696,                0.44044,                0.52221,                0.34304,                 1.3723,                 1.6753,                 1.6602,             0.00093502,             0.00093502,             0.00093502
                     19,                0.98831,                 1.2523,                 1.3082,                0.52712,                0.52013,                0.46316,                0.32564,                 1.3195,                  1.853,                 1.6517,             0.00092402,             0.00092402,             0.00092402
                     20,                0.96259,                  1.191,                 1.2859,                0.51487,                0.52423,                 0.4713,                0.31325,                 1.3193,                  1.924,                 1.6646,             0.00091302,             0.00091302,             0.00091302
                     21,                0.96932,                 1.1897,                 1.2974,                0.53096,                0.44456,                0.46641,                0.32251,                 1.3202,                 1.8359,                 1.6794,             0.00090202,             0.00090202,             0.00090202
                     22,                0.97568,                 1.1834,                 1.2945,                0.56359,                 0.3764,                0.42871,                0.29553,                 1.3492,                 1.8157,                  1.676,             0.00089102,             0.00089102,             0.00089102
                     23,                0.95783,                 1.1794,                 1.2866,                0.52847,                0.51973,                0.50487,                0.35482,                 1.2447,                 1.7415,                 1.5903,             0.00088002,             0.00088002,             0.00088002
                     24,                0.93223,                  1.111,                 1.2652,                0.48819,                0.53126,                 0.5064,                0.33383,                 1.2798,                 1.7364,                  1.617,             0.00086902,             0.00086902,             0.00086902
                     25,                 0.9295,                 1.0682,                 1.2641,                0.49874,                0.47722,                0.44173,                0.29421,                 1.3632,                 2.0105,                 1.7659,             0.00085803,             0.00085803,             0.00085803
                     26,                0.92303,                 1.0455,                 1.2575,                0.63202,                0.44295,                 0.5115,                0.34841,                 1.3143,                 1.7929,                 1.6914,             0.00084703,             0.00084703,             0.00084703
                     27,                0.93621,                 1.0533,                 1.2769,                0.70415,                0.42193,                0.51341,                0.36705,                  1.273,                 1.6069,                 1.6338,             0.00083603,             0.00083603,             0.00083603
