                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89076,                0.97386,                  1.216,                0.58383,                0.47513,                0.48869,                0.33074,                  1.369,                 1.8607,                 1.7325,             0.00099001,             0.00099001,             0.00099001
                     36,                0.87129,                0.96195,                 1.2169,                0.54894,                0.47024,                0.47808,                0.33584,                 1.3269,                 1.8908,                  1.672,             0.00098635,             0.00098635,             0.00098635
                     37,                0.86871,                0.95137,                  1.228,                0.61123,                0.52731,                0.53089,                 0.3793,                 1.2333,                 1.7326,                 1.6214,             0.00098268,             0.00098268,             0.00098268
                     38,                0.85104,                0.93921,                 1.2046,                0.60345,                0.49228,                0.50475,                0.36918,                 1.2837,                 1.7083,                 1.6856,             0.00097901,             0.00097901,             0.00097901
                     39,                0.85216,                  0.928,                 1.2056,                0.56779,                 0.5246,                0.52877,                0.36946,                 1.2509,                 1.6514,                 1.6454,             0.00097535,             0.00097535,             0.00097535
                     40,                0.84345,                0.91611,                 1.1881,                0.54699,                0.47805,                0.46502,                0.32417,                 1.3607,                 1.8954,                 1.7346,             0.00097168,             0.00097168,             0.00097168
                     41,                0.83332,                0.87603,                 1.1885,                0.58379,                0.55755,                 0.5328,                0.37996,                 1.3055,                  1.717,                 1.7016,             0.00096801,             0.00096801,             0.00096801
                     42,                0.83178,                0.89695,                 1.1987,                0.51277,                0.47502,                0.47209,                0.32729,                 1.3744,                 1.8975,                 1.7555,             0.00096435,             0.00096435,             0.00096435
                     43,                0.82921,                0.89407,                 1.1759,                0.67222,                0.49091,                0.51713,                0.36065,                 1.3713,                 1.7439,                 1.7347,             0.00096068,             0.00096068,             0.00096068
                     44,                0.80423,                0.84766,                 1.1736,                0.72334,                0.49108,                0.54279,                0.38483,                 1.2487,                 1.6719,                 1.5971,             0.00095702,             0.00095702,             0.00095702
                     45,                0.80915,                0.84134,                 1.1701,                0.58038,                0.49452,                0.51458,                0.35459,                 1.3348,                 1.6998,                 1.7022,             0.00095335,             0.00095335,             0.00095335
