                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.46274,                0.32175,                  1.014,                0.98944,                      1,                0.99134,                0.95973,                 0.2987,                0.22522,                0.86197,               0.008812,               0.008812,               0.008812
                     38,                0.45797,                0.30278,                 1.0032,                0.99674,                      1,                  0.995,                 0.9719,                0.29138,                0.20942,                0.86385,               0.008779,               0.008779,               0.008779
                     39,                0.45418,                0.31212,                 1.0058,                0.98967,                      1,                0.99322,                0.96571,                0.28488,                0.20807,                0.85605,               0.008746,               0.008746,               0.008746
                     40,                0.44577,                0.31019,                      1,                0.98945,                      1,                0.99421,                0.96823,                0.29787,                0.21466,                0.85014,               0.008713,               0.008713,               0.008713
                     41,                0.43678,                0.29951,                0.98683,                0.98949,                      1,                0.99292,                 0.9727,                 0.2816,                0.20737,                0.83809,                0.00868,                0.00868,                0.00868
                     42,                0.43777,                0.30093,                0.99684,                0.98819,                      1,                0.99312,                0.95725,                0.28545,                0.21089,                0.85466,               0.008647,               0.008647,               0.008647
                     43,                0.44251,                0.30333,                0.98939,                0.98938,                      1,                0.99262,                0.97312,                0.26722,                0.21162,                0.85011,               0.008614,               0.008614,               0.008614
                     44,                 0.4231,                0.29281,                0.99134,                 0.9892,                      1,                0.99203,                0.97467,                0.25034,                0.20299,                0.83272,               0.008581,               0.008581,               0.008581
                     45,                0.42896,                0.29662,                0.98196,                0.98927,                      1,                0.99292,                0.97201,                0.26425,                0.19629,                0.83232,               0.008548,               0.008548,               0.008548
                     46,                0.40707,                0.27867,                0.98341,                0.98936,                      1,                0.99361,                0.97728,                0.26207,                0.19485,                0.83511,               0.008515,               0.008515,               0.008515
                     47,                 0.4114,                 0.2825,                0.98396,                0.99468,                      1,                  0.995,                0.97275,                 0.2508,                0.17864,                0.82953,               0.008482,               0.008482,               0.008482
                     48,                0.41862,                0.28078,                0.98181,                0.98951,                      1,                 0.9945,                0.97171,                0.26865,                0.19378,                0.83979,               0.008449,               0.008449,               0.008449
                     49,                0.39036,                0.27396,                0.97227,                0.98952,                      1,                0.99312,                0.98049,                0.24535,                0.19071,                0.84076,               0.008416,               0.008416,               0.008416
                     50,                0.39709,                0.27509,                0.96869,                  0.989,                      1,                0.99342,                0.97667,                0.25624,                0.19416,                0.83258,               0.008383,               0.008383,               0.008383
                     51,                0.39837,                0.28165,                0.96999,                0.98951,                      1,                 0.9949,                0.97922,                0.23974,                0.18985,                0.83428,                0.00835,                0.00835,                0.00835
                     52,                0.39602,                0.27766,                0.97058,                0.99929,                      1,                  0.995,                0.97971,                0.22895,                0.16171,                0.82733,               0.008317,               0.008317,               0.008317
                     53,                0.39294,                0.27225,                0.97067,                0.99835,                      1,                  0.995,                0.97273,                0.24948,                0.18254,                0.82681,               0.008284,               0.008284,               0.008284
                     54,                0.38533,                0.27211,                0.97334,                0.99926,                      1,                  0.995,                0.98311,                0.24061,                0.17491,                0.82501,               0.008251,               0.008251,               0.008251
                     55,                0.38477,                0.25924,                0.97442,                0.99939,                      1,                  0.995,                0.98337,                0.22433,                0.17001,                  0.818,               0.008218,               0.008218,               0.008218
                     56,                0.37991,                 0.2661,                0.96037,                 0.9987,                      1,                  0.995,                0.98285,                0.23099,                0.16948,                0.82516,               0.008185,               0.008185,               0.008185
                     57,                0.37543,                0.26623,                0.95558,                0.99815,                      1,                  0.995,                0.98515,                0.21775,                0.17168,                0.81577,               0.008152,               0.008152,               0.008152
                     58,                0.35878,                0.26023,                0.95996,                0.99936,                      1,                  0.995,                 0.9843,                 0.2108,                0.16183,                0.81121,               0.008119,               0.008119,               0.008119
                     59,                0.36782,                0.26197,                0.95914,                0.99853,                      1,                  0.995,                0.98509,                0.20668,                0.17394,                0.81447,               0.008086,               0.008086,               0.008086
                     60,                0.37153,                 0.2683,                0.96201,                0.99937,                      1,                  0.995,                0.98308,                0.22323,                0.16902,                0.81941,               0.008053,               0.008053,               0.008053
                     61,                0.36815,                0.25958,                0.95362,                0.99941,                      1,                  0.995,                0.98292,                0.22247,                0.17056,                0.83274,                0.00802,                0.00802,                0.00802
                     62,                0.34042,                0.24241,                0.93924,                0.99933,                      1,                  0.995,                0.98223,                 0.2309,                0.17399,                0.82449,               0.007987,               0.007987,               0.007987
                     63,                0.35905,                0.25753,                0.95207,                0.99942,                      1,                  0.995,                0.98448,                0.21924,                0.17998,                0.82265,               0.007954,               0.007954,               0.007954
                     64,                0.34805,                0.25595,                0.94796,                0.99956,                      1,                  0.995,                0.98548,                0.21071,                0.16344,                 0.8213,               0.007921,               0.007921,               0.007921
                     65,                0.34615,                0.24651,                0.94172,                0.99943,                      1,                  0.995,                0.98575,                0.21199,                0.15461,                0.81346,               0.007888,               0.007888,               0.007888
                     66,                0.33977,                0.24509,                0.93944,                 0.9994,                      1,                  0.995,                0.98365,                0.21579,                 0.1627,                0.82729,               0.007855,               0.007855,               0.007855
                     67,                0.33435,                0.23724,                0.93807,                0.99937,                      1,                  0.995,                0.98233,                0.22233,                0.15894,                0.82341,               0.007822,               0.007822,               0.007822
                     68,                0.34296,                0.24788,                0.94175,                0.99942,                      1,                  0.995,                 0.9799,                0.20631,                 0.1568,                0.81741,               0.007789,               0.007789,               0.007789
                     69,                  0.338,                  0.241,                0.94182,                 0.9994,                      1,                  0.995,                0.98662,                0.20246,                0.15164,                 0.8214,               0.007756,               0.007756,               0.007756
                     70,                0.34325,                0.25032,                 0.9515,                0.99905,                      1,                  0.995,                0.98614,                0.19467,                0.17289,                0.81608,               0.007723,               0.007723,               0.007723
                     71,                0.33404,                0.23915,                0.94161,                0.99926,                      1,                  0.995,                0.98551,                0.20763,                0.16928,                0.82491,                0.00769,                0.00769,                0.00769
                     72,                0.33873,                0.23771,                 0.9424,                0.99942,                      1,                  0.995,                0.98592,                0.21871,                0.16874,                0.81965,               0.007657,               0.007657,               0.007657
                     73,                0.33014,                0.23994,                0.94247,                0.99942,                      1,                  0.995,                0.98735,                0.20741,                0.17035,                 0.8185,               0.007624,               0.007624,               0.007624
                     74,                0.31968,                0.23326,                0.93401,                0.99942,                      1,                  0.995,                0.98893,                0.18899,                0.14835,                0.80861,               0.007591,               0.007591,               0.007591
                     75,                0.32511,                0.23759,                0.93499,                0.99943,                      1,                  0.995,                0.99048,                 0.1959,                0.14209,                0.81153,               0.007558,               0.007558,               0.007558
                     76,                0.31309,                 0.2312,                0.92791,                 0.9993,                      1,                  0.995,                0.98805,                0.19092,                0.14746,                0.80792,               0.007525,               0.007525,               0.007525
                     77,                0.32009,                0.23354,                0.93353,                0.98884,                      1,                 0.9947,                0.98686,                0.18533,                 0.1458,                0.81018,               0.007492,               0.007492,               0.007492
                     78,                0.32137,                0.23079,                0.92803,                0.99931,                      1,                  0.995,                0.98866,                0.17825,                0.13631,                0.80827,               0.007459,               0.007459,               0.007459
                     79,                0.30872,                0.23034,                0.93158,                 0.9994,                      1,                  0.995,                0.98674,                 0.1808,                0.14477,                0.80381,               0.007426,               0.007426,               0.007426
                     80,                0.31229,                0.23116,                0.93534,                0.99939,                      1,                  0.995,                0.98364,                  0.187,                0.14474,                0.80401,               0.007393,               0.007393,               0.007393
                     81,                 0.3163,                 0.2388,                0.92603,                0.99877,                      1,                  0.995,                0.98747,                0.18916,                 0.1525,                0.80201,                0.00736,                0.00736,                0.00736
                     82,                0.30877,                0.23455,                0.92286,                0.99943,                      1,                  0.995,                0.98947,                0.17886,                0.14709,                0.80947,               0.007327,               0.007327,               0.007327
                     83,                0.29652,                0.22161,                0.91712,                0.99943,                      1,                  0.995,                0.98852,                0.18846,                0.14889,                0.81251,               0.007294,               0.007294,               0.007294
                     84,                0.30654,                0.22708,                0.92382,                0.99935,                      1,                  0.995,                0.99244,                0.16532,                0.13723,                0.80218,               0.007261,               0.007261,               0.007261
                     85,                0.30597,                0.22404,                0.92816,                0.99931,                      1,                  0.995,                 0.9898,                0.17062,                0.14092,                 0.8013,               0.007228,               0.007228,               0.007228
                     86,                0.30032,                0.22524,                0.91583,                0.99932,                      1,                  0.995,                0.98914,                0.17182,                0.13593,                0.79503,               0.007195,               0.007195,               0.007195
                     87,                0.29424,                 0.2226,                0.92359,                0.99942,                      1,                  0.995,                0.98957,                0.17287,                 0.1386,                 0.8009,               0.007162,               0.007162,               0.007162
                     88,                 0.2995,                0.22034,                0.92138,                0.99929,                      1,                  0.995,                0.99013,                0.16017,                0.13713,                0.79527,               0.007129,               0.007129,               0.007129
                     89,                0.29036,                0.21412,                0.91941,                0.99913,                      1,                  0.995,                0.98829,                0.17575,                0.13217,                0.79882,               0.007096,               0.007096,               0.007096
                     90,                0.27451,                0.21219,                0.91619,                0.99944,                      1,                  0.995,                0.98954,                 0.1843,                 0.1432,                0.80581,               0.007063,               0.007063,               0.007063
                     91,                0.28366,                0.21134,                0.91757,                0.99944,                      1,                  0.995,                0.99151,                 0.1671,                0.13325,                0.80079,                0.00703,                0.00703,                0.00703
                     92,                0.28979,                0.21758,                0.91697,                0.99936,                      1,                  0.995,                0.99099,                0.15546,                0.13228,                0.79964,               0.006997,               0.006997,               0.006997
                     93,                0.28674,                 0.2194,                0.91938,                0.99942,                      1,                  0.995,                0.99328,                0.15479,                0.13122,                0.80218,               0.006964,               0.006964,               0.006964
                     94,                0.28485,                0.21819,                0.91777,                0.99919,                      1,                  0.995,                0.99015,                0.16335,                0.13205,                0.79723,               0.006931,               0.006931,               0.006931
